	pc_name	payment	has_won
0	vt203_1	50.00 Kč	1.0
1	vt203_2	0.00 Kč	0.0
2	vt203_3	0.00 Kč	0.0
3	vt203_4	0.00 Kč	0.0
4	vt203_5	0.00 Kč	0.0
5	vt203_6	50.00 Kč	1.0
6	vt203_7	50.00 Kč	1.0
7	vt203_8	50.00 Kč	1.0
8	vt203_9	50.00 Kč	1.0
9	vt203_10	50.00 Kč	1.0
10	vt203_11	50.00 Kč	1.0
11	vt203_12	50.00 Kč	1.0
12	vt203_13	50.00 Kč	1.0
13	vt203_14	50.00 Kč	1.0
14	vt203_15	0.00 Kč	0.0
15	vt203_16	0.00 Kč	0.0
16	vt203_17	0.00 Kč	0.0
17	vt203_18	25.00 Kč	0.5
18	vt203_19	0.00 Kč	0.0
19	vt203_20	50.00 Kč	1.0
20	vt203_21	50.00 Kč	1.0
21	vt203_22	50.00 Kč	1.0
22	vt203_23	0.00 Kč	0.0
23	vt203_24	0.00 Kč	0.0
24	vt203_25	50.00 Kč	1.0
25	vt203_26	50.00 Kč	1.0
26	vt203_27	50.00 Kč	1.0
27	vt203_28	50.00 Kč	1.0
28	vt203_29	50.00 Kč	1.0
29	vt203_30	0.00 Kč	0.0
30	vt203_31	50.00 Kč	1.0
31	vt203_32	50.00 Kč	1.0
32	vt203_33	50.00 Kč	1.0
33	vt203_34	50.00 Kč	1.0
34	vt203_35	0.00 Kč	0.0
35	vt203_36	50.00 Kč	1.0
36	vt203_37	0.00 Kč	0.0
37	vt203_38	50.00 Kč	1.0
38	vt203_39	50.00 Kč	1.0
39	vt203_40	50.00 Kč	1.0
40	vt203_41	0.00 Kč	0.0
41	vt203_42	0.00 Kč	0.0
42	vt203_43	50.00 Kč	1.0
43	vt203_44	50.00 Kč	1.0
44	vt203_45	50.00 Kč	1.0
45	vt203_46	50.00 Kč	1.0
46	vt203_47	0.00 Kč	0.0
47	vt203_48	0.00 Kč	0.0
48	vt203_49	0.00 Kč	0.0
49	vt203_50	50.00 Kč	1.0
50	vt203_51	50.00 Kč	1.0
51	vt203_52	50.00 Kč	1.0
52	vt203_53	50.00 Kč	1.0
53	vt203_54	25.00 Kč	0.5
54	vt203_55	50.00 Kč	1.0
55	vt203_56	0.00 Kč	0.0
56	vt203_57	0.00 Kč	0.0
57	vt203_58	0.00 Kč	0.0
58	vt203_59	0.00 Kč	0.0
59	vt203_60	0.00 Kč	0.0
60	vt203_61	25.00 Kč	0.5
61	vt203_62	50.00 Kč	1.0
62	vt203_63	50.00 Kč	1.0
63	vt203_64	0.00 Kč	0.0
64	vt203_65	0.00 Kč	0.0
65	vt203_66	0.00 Kč	0.0
66	vt203_67	0.00 Kč	0.0
67	vt203_68	0.00 Kč	0.0
68	vt203_69	0.00 Kč	0.0
69	vt203_70	50.00 Kč	1.0
70	vt203_71	50.00 Kč	1.0
71	vt203_72	0.00 Kč	0.0
72	vt203_73	50.00 Kč	1.0
73	vt203_74	0.00 Kč	0.0
74	vt203_75	0.00 Kč	0.0
75	vt203_76	50.00 Kč	1.0
76	vt203_77	50.00 Kč	1.0
77	vt203_78	50.00 Kč	1.0
78	vt203_79	50.00 Kč	1.0
79	vt203_80	50.00 Kč	1.0
80	vt203_81	50.00 Kč	1.0
81	vt203_82	50.00 Kč	1.0
82	vt203_83	50.00 Kč	1.0
83	vt203_84	50.00 Kč	1.0
84	vt203_85	50.00 Kč	1.0
85	vt203_86	50.00 Kč	1.0
86	vt203_87	50.00 Kč	1.0
87	vt203_88	50.00 Kč	1.0
88	vt203_89	50.00 Kč	1.0
89	vt203_90	50.00 Kč	1.0
90	vt203_91	50.00 Kč	1.0
91	vt203_92	0.00 Kč	0.0
92	vt203_93	50.00 Kč	1.0
93	vt203_94	0.00 Kč	0.0
94	vt203_95	50.00 Kč	1.0
95	vt203_96	0.00 Kč	0.0
96	vt203_97	50.00 Kč	1.0
97	vt203_98	0.00 Kč	0.0
98	vt203_99	50.00 Kč	1.0
99	vt203_100	50.00 Kč	1.0
